UniqueID,NEAR_DIST
TN_1_00030200,27585.1875
TN_1_00033000,73682.41159
TN_1_00030100,26880.00574
TN_1_00020400,12274.59234
TN_1_00030400,30597.30148
TN_1_00031800,46244.81828
TN_1_00020100,15471.30842
TN_1_00032300,23972.53911
TN_1_00031500,50778.07367
TN_1_00034200,70186.18852
TN_1_00040700,85610.86534
TN_1_00020600,10661.83546
TN_1_00020700,10000.03522
TN_1_00031100,45857.54009
TN_1_00030600,33698.70546
TN_1_00040600,86591.61509
TN_1_00030500,32193.1593
TN_1_00020000,17917.46697
TN_1_00030700,38261.70639
TN_1_00019700,22240.40011
TN_1_00043800,52674.86455
TN_1_00019900,20807.74388
TN_1_00019700,20038.55202
TN_1_00020500,12065.04133
TN_1_00031900,44214.17145
TN_1_00046200,29561.26695
TN_1_00046300,28642.96247
TN_1_00020200,14081.9431
TN_1_00045200,41338.91942
TN_1_00034700,62599.14666
TN_1_00020300,12944.78161
TN_1_00032000,42595.05261
TN_1_00043700,55567.07965
TN_1_00031600,49929.8814
TN_1_00020800,9784.072069
TN_1_00020900,11210.20363
TN_1_00046400,27086.70441
TN_1_00033800,75976.23365
TN_1_00045700,36709.38801
TN_1_00021000,12046.30227
TN_1_00021300,15345.65623
TN_1_00043900,54643.30037
