"UniqueID","saline_pixel_count","saline_area_m2","State","District","Year"
"AP_1_01116600",158.350997924805,142515.898132324,"AP",1,2013
"AP_1_01129000",3240.01049804688,2916009.44824219,"AP",1,2013
"AP_1_01130100",2.9340968132019,2640.68713188171,"AP",1,2013
"AP_1_01122400",822.332458496094,740099.212646484,"AP",1,2013
"AP_1_01153300",341.278869628906,307150.982666016,"AP",1,2013
"AP_1_01169600",94.7570495605469,85281.3446044922,"AP",1,2013
"AP_1_01115600",10,9000,"AP",1,2013
"AP_1_01115800",134.755325317383,121279.792785645,"AP",1,2013
"AP_1_01092100",11,9900,"AP",1,2013
"AP_1_01153400",48.6000022888184,43740.0020599365,"AP",1,2013
"AP_1_01122800",897.322204589844,807589.984130859,"AP",1,2013
"AP_1_01115700",0,0,"AP",1,2013
"AP_1_01154600",30.716926574707,27645.2339172363,"AP",1,2013
"AP_1_01158400",350.471832275391,315424.649047852,"AP",1,2013
"AP_1_01154700",181.691513061523,163522.361755371,"AP",1,2013
"AP_1_01129400",1,900,"AP",1,2013
"AP_1_01091700",4,3600,"AP",1,2013
"AP_1_01129900",0.881617784500122,793.45600605011,"AP",1,2013
"AP_1_01116900",152.498199462891,137248.379516602,"AP",1,2013
"AP_1_01091600",2,1800,"AP",1,2013
"AP_1_01130400",0,0,"AP",1,2013
"AP_1_01158600",493.781799316406,444403.619384766,"AP",1,2013
"AP_1_01092000",0,0,"AP",1,2013
"AP_1_01121800",92.6531753540039,83387.8578186035,"AP",1,2013
"AP_1_01129200",1119.71630859375,1007744.67773438,"AP",1,2013
"AP_1_01158500",980.86572265625,882779.150390625,"AP",1,2013
"AP_1_01115300",0,0,"AP",1,2013
"AP_1_01112200",4,3600,"AP",1,2013
"AP_1_01121700",12.4438734054565,11199.4860649109,"AP",1,2013
"AP_1_01152500",24.610803604126,22149.7232437134,"AP",1,2013
"AP_1_01123000",194.710708618164,175239.637756348,"AP",1,2013
"AP_1_01130200",0,0,"AP",1,2013
"AP_1_01122900",1,900,"AP",1,2013
"AP_1_01169700",126.906593322754,114215.933990479,"AP",1,2013
"AP_1_01121600",5,4500,"AP",1,2013
"AP_1_01115500",6,5400,"AP",1,2013
"AP_1_01158700",405.065856933594,364559.271240234,"AP",1,2013
"AP_1_01098400",0,0,"AP",1,2013
"AP_1_01153400",196.528289794922,176875.46081543,"AP",1,2013
"AP_1_01115400",4,3600,"AP",1,2013
"AP_1_01121400",8.8727502822876,7985.47525405884,"AP",1,2013
"AP_1_01152600",293.542999267578,264188.69934082,"AP",1,2013
"AP_1_01117200",246.317489624023,221685.740661621,"AP",1,2013
"AP_1_01158800",979.940307617188,881946.276855469,"AP",1,2013
"AP_1_01116700",61.8540802001953,55668.6721801758,"AP",1,2013
"AP_1_01153000",22.6220397949219,20359.8358154297,"AP",1,2013
"AP_1_01158900",565.099304199219,508589.373779297,"AP",1,2013
"AP_1_01154800",262.933197021484,236639.877319336,"AP",1,2013
"AP_1_01161200",1466.41186523438,1319770.67871094,"AP",1,2013
"AP_1_01100100",0,0,"AP",1,2013
"AP_1_01129100",277.189208984375,249470.288085938,"AP",1,2013
"AP_1_01152900",1.1723884344101,1055.14959096909,"AP",1,2013
"AP_1_01130300",1.8276115655899,1644.85040903091,"AP",1,2013
"AP_1_01161300",354.601898193359,319141.708374023,"AP",1,2013
"AP_1_01159000",73.0714416503906,65764.2974853516,"AP",1,2013
"AP_1_01129300",0,0,"AP",1,2013
"AP_1_01159300",1005.30517578125,904774.658203125,"AP",1,2013
"AP_1_01159100",247.777770996094,222999.993896484,"AP",1,2013
"AP_1_01169800",38.0203399658203,34218.3059692383,"AP",1,2013
"AP_1_01093300",0.695145547389984,625.630992650986,"AP",1,2013
"AP_1_01159400",650.096008300781,585086.407470703,"AP",1,2013
"AP_1_01152700",46.5075759887695,41856.8183898926,"AP",1,2013
"AP_1_01121300",0,0,"AP",1,2013
"AP_1_01123300",40.7455749511719,36671.0174560547,"AP",1,2013
"AP_1_01124800",0,0,"AP",1,2013
"AP_1_01160900",425.839813232422,383255.83190918,"AP",1,2013
"AP_1_01159500",1098.12377929688,988311.401367188,"AP",1,2013
"AP_1_01159600",433.730133056641,390357.119750977,"AP",1,2013
"AP_1_01159200",509.793029785156,458813.726806641,"AP",1,2013
"AP_1_01159900",2.31539583206177,2083.85624885559,"AP",1,2013
"AP_1_01116800",38.7649536132812,34888.4582519531,"AP",1,2013
"AP_1_01092600",39.5581474304199,35602.3326873779,"AP",1,2013
"AP_1_01123100",8.33429718017578,7500.8674621582,"AP",1,2013
"AP_1_01159800",32.3771896362305,29139.4706726074,"AP",1,2013
"AP_1_01091500",23.8155784606934,21434.020614624,"AP",1,2013
"AP_1_01123200",3.57427310943604,3216.84579849243,"AP",1,2013
"AP_1_01159700",254.709289550781,229238.360595703,"AP",1,2013
"AP_1_01169900",91.1751174926758,82057.6057434082,"AP",1,2013
"AP_1_01124900",2,1800,"AP",1,2013
"AP_1_01153100",25,22500,"AP",1,2013
"AP_1_01170600",0,0,"AP",1,2013
"AP_1_01101800",0,0,"AP",1,2013
"AP_1_01161100",618.642028808594,556777.825927734,"AP",1,2013
"AP_1_01170700",2.44549798965454,2200.94819068909,"AP",1,2013
"AP_1_01160000",21.2150707244873,19093.5636520386,"AP",1,2013
"AP_1_01092200",0,0,"AP",1,2013
"AP_1_01160600",2886.73120117188,2598058.08105469,"AP",1,2013
"AP_1_01191700",95.0376739501953,85533.9065551758,"AP",1,2013
"AP_1_01161000",597.977661132812,538179.895019531,"AP",1,2013
"AP_1_01160700",776.191711425781,698572.540283203,"AP",1,2013
"AP_1_01160800",582.705322265625,524434.790039062,"AP",1,2013
"AP_1_01161700",988.460021972656,889614.019775391,"AP",1,2013
"AP_1_01154900",46.3710479736328,41733.9431762695,"AP",1,2013
"AP_1_01153200",204.311248779297,183880.123901367,"AP",1,2013
"AP_1_01161400",525.503601074219,472953.240966797,"AP",1,2013
"AP_1_01170800",231.179351806641,208061.416625977,"AP",1,2013
"AP_1_01163000",25.3854751586914,22846.9276428223,"AP",1,2013
"AP_1_01160500",298.309997558594,268478.997802734,"AP",1,2013
"AP_1_01152800",17.1099834442139,15398.9850997925,"AP",1,2013
"AP_1_01170400",48.3444213867188,43509.9792480469,"AP",1,2013
